Contributions are scored as 1 (yes) or 0 (no). Total counts are used when a non-binary system is not appropriate.,,,,,,,,,,,,,,,,,,
name (listed alphabetically by last name),confirmed involvement,"conceptualization: 
literature review",methodology: study/protocal registration,project administration: documentation,"investigation: 
data collection/
execution 1","investigation: 
data collection/
execution 2",data curation: data cleaning,"validation: 
data verification 1","validation: data 
verification 2",writing - original draft: manuscript drafting,writing - review & editing,writing - review & editing: formatting compliance,authorship order finalized,approval to submit,response to reviewers,sum contribution scores,weighted contribution score,author order (*indicates equal contributions)
Author 1,participating,2,1,1,14,19,1,9,0,1,0,1,NA,1,1,47,NA,1
Author 2,participating,1,0,0,0,0,0,1,1,0,1,0,NA,1,1,3,NA,10*
Author 3,participating,2,0,0,1,0,0,3,4,0,1,0,NA,1,1,9,NA,3
Author 4,not participating,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Author 5,not participating,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Author 6,participating,2,0,0,2,0,0,5,2,0,1,0,NA,1,1,10,NA,2
Author 7,participating,0,0,1,1,0,0,0,0,0,1,1,NA,1,1,4,NA,8*
Author 8,participating,1,0,1,1,0,0,0,1,0,1,0,NA,1,1,4,NA,8*
Author 9,participating,0,NA,NA,0,0,0,3,3,0,1,0,NA,1,1,7,NA,5
Author 10,not participating,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Author 11,participating,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA
Author 12,participating,1,NA,NA,0,0,0,0,0,0,1,0,NA,1,1,1,NA,16*
Author 13,participating,3,NA,NA,2,0,0,0,0,0,1,0,NA,1,1,3,NA,10*
Author 14,participating,3,NA,NA,0,0,0,0,0,0,1,0,NA,1,1,1,NA,16*
Author 15,participating,1,NA,NA,1,0,0,3,2,0,1,1,NA,1,1,8,NA,4
Author 16,participating,3,NA,NA,0,0,0,1,3,0,1,0,NA,1,1,5,NA,7
Author 17,participating,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA
Author 18,participating,1,NA,NA,0,0,0,0,1,0,0,0,NA,1,1,1,NA,16*
Author 19,participating,1,NA,NA,1,0,0,0,1,0,1,0,NA,1,1,3,NA,10*
Author 20,participating,1,NA,NA,1,0,0,0,0,0,1,0,NA,1,1,2,NA,13*
Author 21,participating,2,NA,NA,2,0,0,2,2,0,0,0,NA,1,1,6,NA,6
Author 22,participating,1,NA,NA,0,0,0,1,1,0,0,0,NA,1,1,2,NA,13*
Author 23,participating,1,NA,NA,0,0,0,0,1,0,0,0,NA,1,1,1,NA,16*
Author 24,participating,1,NA,NA,1,0,0,1,0,0,0,0,NA,1,1,2,NA,13*
